host,port,proto,name,state,info
"10.90.242.59","138","udp","netbios-dgm","unknown",""
"10.90.242.59","139","tcp","netbios-ssn","filtered",""
"10.90.242.59","143","tcp","imap","filtered",""
"10.90.242.59","161","udp","snmp","unknown",""
"10.90.242.59","162","udp","snmptrap","unknown",""
"10.90.242.59","389","udp","ldap","unknown",""
"10.90.242.59","443","tcp","https","closed",""
"10.90.242.59","445","tcp","microsoft-ds","filtered",""
"10.90.242.59","636","udp","ldaps","unknown",""
"10.90.242.59","993","tcp","imaps","filtered",""
"10.90.242.59","995","tcp","pop3s","filtered",""
"10.90.242.59","1433","udp","ms-sql-s","unknown",""
"10.90.242.59","1521","udp","ncube-lm","unknown",""
"10.90.242.59","1723","tcp","pptp","filtered",""
"10.90.242.59","3306","tcp","mysql","filtered",""
"10.90.242.59","3389","tcp","ms-wbt-server","filtered",""
"10.90.242.59","4500","tcp","sae-urn","open",""
"10.90.242.59","5432","udp","postgresql","unknown",""
"10.90.242.59","5900","tcp","vnc","filtered",""
"10.90.242.59","5900","udp","rfb","unknown",""
"10.90.242.59","6000","udp","x11","unknown",""
"10.90.242.59","8080","tcp","http-proxy","filtered",""
"10.90.242.59","8080","udp","http-alt","unknown",""
"10.90.242.59","8443","tcp","https-alt","filtered",""
